settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-14T03:46:00Z,shadow,KXXRP15M-26SEP132345-45,xrp,no,11,0.76,0.15,0.24,no,2.49,crypto_fav,247.37
2026-09-14T04:01:00Z,shadow,KXXRP15M-26SEP140000-00,xrp,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,232.3
2026-09-14T04:01:00Z,shadow,KXNEAR15M-26SEP140000-00,near,yes,12,0.78,0.15,0.78,yes,2.49,crypto_fav,244.3
2026-09-14T04:01:00Z,shadow,KXDOGE15M-26SEP140000-00,doge,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,255.3
2026-09-14T04:16:01Z,shadow,KXNEAR15M-26SEP140015-15,near,yes,12,0.78,0.15,0.78,yes,2.49,crypto_fav,239.12
2026-09-14T04:16:01Z,shadow,KXXRP15M-26SEP140015-15,xrp,yes,12,0.77,0.15,0.77,yes,2.61,crypto_fav,251.12
2026-09-14T04:16:01Z,shadow,KXDOGE15M-26SEP140015-15,doge,yes,12,0.76,0.16,0.76,yes,2.72,crypto_fav,263.12
2026-09-14T04:31:01Z,shadow,KXNEAR15M-26SEP140030-30,near,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,246.87
2026-09-14T04:31:01Z,shadow,KXXRP15M-26SEP140030-30,xrp,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,259.87
2026-09-14T04:31:01Z,shadow,KXDOGE15M-26SEP140030-30,doge,yes,12,0.77,0.15,0.77,yes,2.61,crypto_fav,271.87
2026-09-14T04:46:01Z,shadow,KXNEAR15M-26SEP140045-45,near,no,14,0.76,0.18,0.24,no,3.18,crypto_fav,255.38
2026-09-14T04:46:01Z,shadow,KXDOGE15M-26SEP140045-45,doge,yes,12,0.8,0.14,0.8,yes,2.26,crypto_fav,267.38
2026-09-14T04:46:01Z,shadow,KXXRP15M-26SEP140045-45,xrp,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,280.38
2026-09-14T05:01:01Z,shadow,KXNEAR15M-26SEP140100-00,near,no,14,0.77,0.18,0.23,no,3.04,crypto_fav,263.32
2026-09-14T05:01:01Z,shadow,KXXRP15M-26SEP140100-00,xrp,yes,13,0.76,0.17,0.76,yes,2.95,crypto_fav,276.32
2026-09-14T05:01:01Z,shadow,KXDOGE15M-26SEP140100-00,doge,yes,13,0.76,0.17,0.76,yes,2.95,crypto_fav,289.32
2026-09-14T05:16:02Z,shadow,KXXRP15M-26SEP140115-15,xrp,no,14,0.76,0.18,0.24,yes,-10.82,crypto_fav,256.72
2026-09-14T05:16:02Z,shadow,KXNEAR15M-26SEP140115-15,near,yes,14,0.78,0.17,0.78,yes,2.91,crypto_fav,270.72
2026-09-14T05:16:02Z,shadow,KXDOGE15M-26SEP140115-15,doge,no,14,0.75,0.19,0.25,yes,-10.69,crypto_fav,270.72
2026-09-14T05:31:01Z,shadow,KXNEAR15M-26SEP140130-30,near,no,14,0.75,0.19,0.25,no,3.31,crypto_fav,254.17
2026-09-14T05:31:01Z,shadow,KXXRP15M-26SEP140130-30,xrp,no,13,0.75,0.18,0.25,no,3.07,crypto_fav,267.17
2026-09-14T05:31:01Z,shadow,KXDOGE15M-26SEP140130-30,doge,no,13,0.75,0.18,0.25,no,3.07,crypto_fav,280.17
2026-09-14T05:46:00Z,shadow,KXNEAR15M-26SEP140145-45,near,yes,13,0.8,0.15,0.8,yes,2.45,crypto_fav,261.88
2026-09-14T05:46:00Z,shadow,KXXRP15M-26SEP140145-45,xrp,yes,14,0.75,0.19,0.75,yes,3.31,crypto_fav,275.88
2026-09-14T05:46:00Z,shadow,KXDOGE15M-26SEP140145-45,doge,yes,13,0.76,0.17,0.76,no,-10.05,crypto_fav,275.88
2026-09-14T06:01:00Z,shadow,KXXRP15M-26SEP140200-00,xrp,no,14,0.75,0.19,0.25,yes,-10.69,crypto_fav,245.08
2026-09-14T06:01:00Z,shadow,KXNEAR15M-26SEP140200-00,near,no,13,0.77,0.17,0.23,yes,-10.18,crypto_fav,245.08
2026-09-14T06:01:00Z,shadow,KXDOGE15M-26SEP140200-00,doge,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,258.08
2026-09-14T06:16:02Z,shadow,KXDOGE15M-26SEP140215-15,doge,yes,13,0.78,0.16,0.78,yes,2.7,crypto_fav,250.93
2026-09-14T06:16:02Z,shadow,KXXRP15M-26SEP140215-15,xrp,yes,12,0.81,0.13,0.81,yes,2.15,crypto_fav,262.93
2026-09-14T06:31:00Z,shadow,KXNEAR15M-26SEP140230-30,near,no,12,0.82,0.13,0.18,no,2.03,crypto_fav,246.18
2026-09-14T06:31:00Z,shadow,KXXRP15M-26SEP140230-30,xrp,no,12,0.77,0.15,0.23,no,2.61,crypto_fav,258.18
2026-09-14T06:31:00Z,shadow,KXDOGE15M-26SEP140230-30,doge,no,12,0.77,0.15,0.23,no,2.61,crypto_fav,270.18
2026-09-14T06:46:01Z,shadow,KXXRP15M-26SEP140245-45,xrp,no,11,0.914,0.07,0.086,yes,-10.124,crypto_fav,240.53
2026-09-14T06:46:01Z,shadow,KXDOGE15M-26SEP140245-45,doge,no,11,0.89,0.08,0.11,yes,-9.87,crypto_fav,240.53
2026-09-14T06:46:01Z,shadow,KXNEAR15M-26SEP140245-45,near,no,11,0.87,0.09,0.13,no,1.34,crypto_fav,251.53
2026-09-14T07:01:00Z,shadow,KXNEAR15M-26SEP140300-00,near,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,236.83
2026-09-14T07:01:00Z,shadow,KXXRP15M-26SEP140300-00,xrp,yes,12,0.75,0.16,0.75,yes,2.84,crypto_fav,248.83
2026-09-14T07:01:00Z,shadow,KXDOGE15M-26SEP140300-00,doge,no,11,0.77,0.14,0.23,no,2.39,crypto_fav,259.83
2026-09-14T07:16:00Z,shadow,KXXRP15M-26SEP140315-15,xrp,yes,13,0.77,0.17,0.77,yes,2.82,crypto_fav,243.98
2026-09-14T07:16:00Z,shadow,KXNEAR15M-26SEP140315-15,near,yes,12,0.77,0.15,0.77,yes,2.61,crypto_fav,255.98
2026-09-14T07:16:00Z,shadow,KXDOGE15M-26SEP140315-15,doge,yes,12,0.76,0.16,0.76,no,-9.28,crypto_fav,255.98
2026-09-14T07:31:00Z,shadow,KXDOGE15M-26SEP140330-30,doge,yes,13,0.76,0.17,0.76,no,-10.05,crypto_fav,227.03
2026-09-14T07:31:01Z,shadow,KXXRP15M-26SEP140330-30,xrp,yes,12,0.79,0.14,0.79,yes,2.38,crypto_fav,239.03
2026-09-14T07:31:01Z,shadow,KXNEAR15M-26SEP140330-30,near,no,12,0.76,0.16,0.24,no,2.72,crypto_fav,251.03
2026-09-14T07:46:01Z,shadow,KXDOGE15M-26SEP140345-45,doge,no,12,0.76,0.16,0.24,yes,-9.28,crypto_fav,223.63
2026-09-14T07:46:01Z,shadow,KXNEAR15M-26SEP140345-45,near,no,12,0.78,0.15,0.22,no,2.49,crypto_fav,235.63
2026-09-14T07:46:01Z,shadow,KXXRP15M-26SEP140345-45,xrp,yes,11,0.77,0.14,0.77,yes,2.39,crypto_fav,246.63
2026-09-14T08:01:00Z,shadow,KXNEAR15M-26SEP140400-00,near,no,12,0.77,0.15,0.23,no,2.61,crypto_fav,231.7
2026-09-14T08:01:00Z,shadow,KXXRP15M-26SEP140400-00,xrp,yes,11,0.78,0.14,0.78,yes,2.28,crypto_fav,242.7
2026-09-14T08:01:00Z,shadow,KXDOGE15M-26SEP140400-00,doge,no,11,0.79,0.13,0.21,no,2.18,crypto_fav,253.7
2026-09-14T08:16:01Z,shadow,KXXRP15M-26SEP140415-15,xrp,no,11,0.84,0.11,0.16,no,1.65,crypto_fav,236.8
2026-09-14T08:16:01Z,shadow,KXNEAR15M-26SEP140415-15,near,no,12,0.77,0.15,0.23,no,2.61,crypto_fav,248.8
2026-09-14T08:16:01Z,shadow,KXDOGE15M-26SEP140415-15,doge,no,10,0.91,0.06,0.09,no,0.84,crypto_fav,258.8
2026-09-14T08:31:01Z,shadow,KXXRP15M-26SEP140430-30,xrp,yes,13,0.75,0.18,0.75,yes,3.07,crypto_fav,243.16
