settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-13T10:16:01Z,shadow,KXBTC15M-26SEP130615-15,btc,yes,17,0.61,0.29,0.61,yes,6.34,poly_book,269.74
2026-09-13T10:16:01Z,shadow,KXETH15M-26SEP130615-15,eth,no,17,0.6,0.29,0.4,no,6.51,poly_book,286.74
2026-09-13T10:31:02Z,shadow,KXETH15M-26SEP130630-30,eth,no,17,0.65,0.28,0.35,no,5.67,poly_book,281.42
2026-09-13T10:31:02Z,shadow,KXBTC15M-26SEP130630-30,btc,no,17,0.63,0.28,0.37,no,6.01,poly_book,298.42
2026-09-13T12:01:13Z,shadow,KXBTC15M-26SEP130645-45,btc,yes,19,0.6,0.32,0.6,no,-11.72,poly_book,275.54
2026-09-13T12:01:13Z,shadow,KXETH15M-26SEP130645-45,eth,yes,17,0.64,0.28,0.64,no,-11.16,poly_book,275.54
2026-09-13T12:18:32Z,shadow,KXETH15M-26SEP130815-15,eth,no,17,0.62,0.29,0.38,yes,-10.83,poly_book,254.22
2026-09-13T12:18:32Z,shadow,KXBTC15M-26SEP130815-15,btc,no,17,0.6,0.29,0.4,yes,-10.49,poly_book,254.22
2026-09-13T12:31:01Z,shadow,KXBTC15M-26SEP130830-30,btc,yes,12,0.78,0.15,0.78,yes,2.49,poly_book,247.29
2026-09-13T12:31:01Z,shadow,KXETH15M-26SEP130830-30,eth,yes,13,0.71,0.19,0.71,no,-9.42,poly_book,247.29
2026-09-13T12:46:01Z,shadow,KXBTC15M-26SEP130845-45,btc,no,12,0.77,0.15,0.23,no,2.61,poly_book,240.97
2026-09-13T12:46:01Z,shadow,KXETH15M-26SEP130845-45,eth,no,12,0.73,0.17,0.27,no,3.07,poly_book,252.97
2026-09-13T13:01:00Z,shadow,KXBTC15M-26SEP130900-00,btc,no,15,0.62,0.25,0.38,yes,-9.55,poly_book,234.02
2026-09-13T13:01:00Z,shadow,KXETH15M-26SEP130900-00,eth,yes,15,0.61,0.25,0.61,yes,5.6,poly_book,249.02
